Year,Year ending,Police Region,Local Government Area,Offence Count,"Rate per 100,000 population"
2019,December,1 North West Metro, Banyule,9524,7247.3
2019,December,1 North West Metro, Brimbank,19784,9410.5
2019,December,1 North West Metro, Darebin,14532,8854.9
2019,December,1 North West Metro, Hobsons Bay,6224,6376.7
2019,December,1 North West Metro, Hume,21445,9204.3
2019,December,1 North West Metro, Maribyrnong,8898,9446.7
2019,December,1 North West Metro, Melbourne,36284,20030.3
2019,December,1 North West Metro, Melton,12611,7661
2019,December,1 North West Metro, Moonee Valley,8281,6362
2019,December,1 North West Metro, Moreland,14375,7736.7
2019,December,1 North West Metro, Nillumbik,2228,3425.6
2019,December,1 North West Metro, Whittlesea,16478,7134.7
2019,December,1 North West Metro, Wyndham,16760,6213.4
2019,December,1 North West Metro, Yarra,13517,13441.3
2019,December,1 North West Metro,Total,200941,8896.8
2019,December,2 Eastern, Alpine,571,4460.5
2019,December,2 Eastern, Bass Coast,2499,6923.8
2019,December,2 Eastern, Baw Baw,4768,8950.2
2019,December,2 Eastern, Benalla,1309,9297
2019,December,2 Eastern, Boroondara,8135,4441.1
2019,December,2 Eastern, East Gippsland,4901,10356.7
2019,December,2 Eastern, Greater Shepparton,8835,13257.1
2019,December,2 Eastern, Indigo,598,3601.6
2019,December,2 Eastern, Knox,11932,7264.2
2019,December,2 Eastern, Latrobe,14004,18523
2019,December,2 Eastern, Manningham,5142,4045
2019,December,2 Eastern, Mansfield,470,5158.2
2019,December,2 Eastern, Maroondah,8166,6858.4
2019,December,2 Eastern, Mitchell,4828,10432.2
2019,December,2 Eastern, Moira,2546,8508.9
2019,December,2 Eastern, Monash,11706,5778.4
2019,December,2 Eastern, Murrindindi,808,5521.3
2019,December,2 Eastern, South Gippsland,1737,5827.7
2019,December,2 Eastern, Strathbogie,631,5872.8
2019,December,2 Eastern, Towong,216,3555.4
2019,December,2 Eastern, Wangaratta,2525,8623.6
2019,December,2 Eastern, Wellington,4597,10373.7
2019,December,2 Eastern, Whitehorse,9231,5171.3
2019,December,2 Eastern, Wodonga,3754,8865.6
2019,December,2 Eastern, Yarra Ranges,9192,5771.3
2019,December,2 Eastern,Total,123101,7161.6
2019,December,3 Southern Metro, Bayside,5103,4776
2019,December,3 Southern Metro, Cardinia,6639,5904.7
2019,December,3 Southern Metro, Casey,22531,6384.5
2019,December,3 Southern Metro, Frankston,14916,10417.3
2019,December,3 Southern Metro, Glen Eira,7387,4749
2019,December,3 Southern Metro, Greater Dandenong,18913,11191.2
2019,December,3 Southern Metro, Kingston,12117,7332.1
2019,December,3 Southern Metro, Mornington Peninsula,11223,6698.8
2019,December,3 Southern Metro, Port Phillip,12603,10868
2019,December,3 Southern Metro, Stonnington,11724,9937.7
2019,December,3 Southern Metro,Total,123156,7665.4
2019,December,4 Western, Ararat,1260,10639.9
2019,December,4 Western, Ballarat,11758,10742.9
2019,December,4 Western, Buloke,300,4884.3
2019,December,4 Western, Campaspe,3957,10501.8
2019,December,4 Western, Central Goldfields,1411,10620.8
2019,December,4 Western, Colac-Otway,1642,7630.2
2019,December,4 Western, Corangamite,647,4047.9
2019,December,4 Western, Gannawarra,827,7857.9
2019,December,4 Western, Glenelg,1685,8576.2
2019,December,4 Western, Golden Plains,650,2748.8
2019,December,4 Western, Greater Bendigo,11448,9688.3
2019,December,4 Western, Greater Geelong,21738,8404.1
2019,December,4 Western, Hepburn,870,5485.6
2019,December,4 Western, Hindmarsh,331,5927.4
2019,December,4 Western, Horsham,1951,9783.2
2019,December,4 Western, Loddon,477,6335.2
2019,December,4 Western, Macedon Ranges,2443,4870.6
2019,December,4 Western, Mildura,7445,13302.3
2019,December,4 Western, Moorabool,2129,6054.5
2019,December,4 Western, Mount Alexander,1224,6230.3
2019,December,4 Western, Moyne,685,4034.1
2019,December,4 Western, Northern Grampians,1103,9735.2
2019,December,4 Western, Pyrenees,659,8957.8
2019,December,4 Western, Queenscliffe,116,3860.6
2019,December,4 Western, Southern Grampians,1217,7554.1
2019,December,4 Western, Surf Coast,1248,3771.2
